username,user_metrics,location,text,created_at,id,lang,metrics,republican,clean_text,sentiment,,,,
showbhik_ghosh,"{'followers_count': 1, 'following_count': 68, 'tweet_count': 105, 'listed_count': 0}",,@DailyCaller And you know American Govt is scared... Esp THE DEMOCRATS ARE from under... because they are getting children on camera... pathetic,2023-02-03 20:44:52+00:00,18625,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",FALSE,  and you know american govt be scared esp the democrats be from under because they be get child on camera pathetic ,['negative'],,,,
ChloeTzang,"{'followers_count': 121, 'following_count': 142, 'tweet_count': 10548, 'listed_count': 3}",,@rammstein_fella LMAO. Democrats running the Federal Govt. They're weasels scared of their own shadows.,2023-02-03 20:44:51+00:00,51968,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 1}",FALSE,  lmao democrats run the federal govt they be weasel scared of their own shadow ,['positive'],,,,
IrfWindnFire,"{'followers_count': 82, 'following_count': 320, 'tweet_count': 1051, 'listed_count': 0}",Virginia,"@ProEULiberal1 Yeah the easiest way to get me to disregard someone's opinion is if they use ""Democrat"" as an adjective. Like you said, it comes off as so uneducated and unserious.",2023-02-03 20:44:50+00:00,22208,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",FALSE,  yeah the easy way to get I to disregard someone opinion be if they use democrat as an adjective like you say it come off as so uneducated and unserious ,['positive'],,,,
kkerwood66,"{'followers_count': 33, 'following_count': 140, 'tweet_count': 4351, 'listed_count': 1}",,@StarRicky12 @JamesBradleyCA Why you’re jealous that Putin is a better world leader that piece of shit Biden is in the whole Democrat Nazi party,2023-02-03 20:44:48+00:00,26144,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",FALSE,   why you re jealous that putin be a well world leader that piece of shit biden be in the whole democrat nazi party ,['negative'],,,,
freericky323,"{'followers_count': 90, 'following_count': 286, 'tweet_count': 2999, 'listed_count': 1}",,"@Ldogls @WHCOS @joncoopertweets @POTUS Unless you exact the same vitriol nonsense to China, India and Africa and stop voting for Democrats plus give up your iPhones and EV’s your points are meaningless and hypocritical and full of shit!",2023-02-03 20:44:47+00:00,29121,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",FALSE,     unless you exact the same vitriol nonsense to china india and africa and stop vote for democrat plus give up your iphone and evs your point be meaningless and hypocritical and full of shit ,['negative'],,,,
101Billie,"{'followers_count': 64, 'following_count': 460, 'tweet_count': 3141, 'listed_count': 1}",Michigan,@AnalizeThis @PopularLiberal @GOP What success?? Democrats hate the truth,2023-02-03 20:44:47+00:00,62755,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",FALSE,    what success democrats hate the truth ,['positive'],,,,
Fayevalentino2,"{'followers_count': 2748, 'following_count': 4232, 'tweet_count': 59937, 'listed_count': 0}",,@RepJeffries No credit given to democrats. America is doing well in spite of Dems trying to tear it down!,2023-02-03 20:44:47+00:00,51843,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",FALSE,  no credit give to democrats america be do well in spite of dem try to tear it down ,['positive'],,,,
AReginasson,"{'followers_count': 3, 'following_count': 30, 'tweet_count': 657, 'listed_count': 0}",,"@truckerJeramey @kdpla12 @dom_lucre No, I believe a lot of racist democrats began switching parties under Nixon. Gay marriage and abortion weren’t even issues during Reagan’s run for the presidency. But, racist Southern beliefs definitely began to sway voters during Nixon’s run.",2023-02-03 20:44:46+00:00,93025,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",FALSE,    no I believe a lot of racist democrat begin switch party under nixon gay marriage and abortion be not even issue during reagans run for the presidency but racist southern belief definitely begin to sway voter during nixon run ,['negative'],,,,
two001snake,"{'followers_count': 5276, 'following_count': 5783, 'tweet_count': 24856, 'listed_count': 8}",,"It's not an assault rifle.
Democrats 'triggered' by GOP lawmakers' assault rifle pins in support of 2A https://t.co/vu2eQXs622 via @americanwire_",2023-02-03 20:44:45+00:00,18624,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",FALSE,it not an assault rifledemocrat   notriggere by gop lawmaker assault rifle pin in support of a   via ,['negative'],,,,
Ggtedge,"{'followers_count': 8, 'following_count': 87, 'tweet_count': 1195, 'listed_count': 0}",,"@mtgreenee MGT is a disgrace to the Republican party, empowering her and those with her beliefs only makes decent intelligent people leave the Republican party. If the party has to make deals to include people like MGT it will fail the decent conservative Republican citizens, NEVER TRUMP!!!",2023-02-03 20:46:01+00:00,7936,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,  mgt be a disgrace to the republican party empower she and those with her belief only make decent intelligent people leave the republican party if the party have to make deal to include people like mgt it will fail the decent conservative republican citizen never trump ,['negative'],,,,
LisaAbb48159578,"{'followers_count': 15, 'following_count': 63, 'tweet_count': 1051, 'listed_count': 0}",,@Mike_Pence Really. Why do Republicans only complain about the debt ceiling when Dems ore in office?,2023-02-03 20:46:00+00:00,86784,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,  really why do republicans only complain about the debt ceiling when dem ore in office ,['negative'],,,,
Nubbers_Natch,"{'followers_count': 382, 'following_count': 366, 'tweet_count': 40666, 'listed_count': 13}",Illinois,@luke_peacock @anya__alvarez You mean “Many Republican Congressmen who like to keep their constituents stupid and poor”.,2023-02-03 20:46:00+00:00,31330,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,   you mean many republican congressman who like to keep their constituent stupid and poor ,['negative'],,,,
christmasbcdi,"{'followers_count': 182, 'following_count': 182, 'tweet_count': 4068, 'listed_count': 1}",Florida,@tom_n_phx @1wokeboy @stephen_richer I care about the entire nation. The govt is not serving in the interest of the people. That includes you. That's why I care. When they steal elections no matter what party it effects all of us. I don't feel any different about selected Republicans. They do that too.,2023-02-03 20:46:00+00:00,97120,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,    I care about the entire nation the govt be not serve in the interest of the people that include you that why I care when they steal election no matter what party it effect all of we I do not feel any different about select republican they do that too ,['positive'],,,,
medsupp1tx,"{'followers_count': 80, 'following_count': 204, 'tweet_count': 8577, 'listed_count': 10}",Texas,@wfaa Nancy was told that is she changed a 200 year old process it would be tit fort tat - She was the first to remove Republicans from committees and this is the consequence part— Harry did the same thing with the filibuster and it came back and cost the Dems a Supreme Court  seat,2023-02-03 20:46:00+00:00,93152,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,  nancy be tell that be she change a   year old process it would be tit fort tat   she be the first to remove republican from committee and this be the consequence part harry do the same thing with the filibuster and it come back and cost the dem a supreme court   seat ,['positive'],,,,
repnews,"{'followers_count': 17219, 'following_count': 5191, 'tweet_count': 30811, 'listed_count': 129}",US,"￼
Widespread disgust has greeted a sectarian sign which was placed by loyalists outside a school for young children in Clough, County Down. https://t.co/nMu2nNxZZW",2023-02-03 20:45:59+00:00,42976,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,widespread disgust have greet a sectarian sign which be place by loyalist outside a school for young child in clough county down ,['negative'],,,,
Revdrfred1,"{'followers_count': 385, 'following_count': 865, 'tweet_count': 40580, 'listed_count': 0}",Kentucky,"a key video. Mitch is actually saying he agrees with Hilary that MAGA people are deplorable. But he just got elected, so we are stuck with him. But Senate Republicans can show the people that THEY dont agree by ditching Mitch. And Thune behind him. https://t.co/nWhFc7Dgkj",2023-02-03 20:45:59+00:00,48098,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,a key video mitch be actually say he agree with hilary that maga people be deplorable but he just got elect so we be stick with he but senate republicans can show the people that they do not agree by ditch mitch and thune behind he ,['positive'],,,,
CodeName_Abyss,"{'followers_count': 225, 'following_count': 495, 'tweet_count': 3531, 'listed_count': 3}",,"alpha males are gay.  Nothing wrong with being gay, I just want to clarify what you’re saying. You’re saying “alpha males” are gay. I get why you’re not coming out and shouting about hooters, football, beer, and being Republican. You don’t want you base to see the real you https://t.co/bfFzsocNvb",2023-02-03 20:45:58+00:00,3168,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,alpha male be gay   nothing wrong with be gay I just want to clarify what you re say you re say alpha male be gay I get why you re not come out and shout about hooter football beer and be republican you do not want you base to see the real you ,['negative'],,,,
StarDustArt1,"{'followers_count': 1251, 'following_count': 2580, 'tweet_count': 11994, 'listed_count': 0}",Tennessee,"And here is yet ANOTHER of the Far-Right, Radical Republicans who meet once each day just to decide who is going to tweet what disinformation today.
#RepublicansLieAboutEverything 
#RepublicansAreDestroyingAmerica 
#RepublicansAreTheProblem 
#republicanshateamericans https://t.co/NVe1GKyGm1",2023-02-03 20:45:57+00:00,18178,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,and here be yet another of the farright radical republican who meet once each day just to decide who be go to tweet what disinformation today     ,['negative'],,,,
JaneHWBB,"{'followers_count': 3351, 'following_count': 5003, 'tweet_count': 124871, 'listed_count': 16}",US,The Republicans... https://t.co/niR92wSmIl,2023-02-03 20:45:57+00:00,40576,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,the republicans ,['negative'],,,,
g45_mickey,"{'followers_count': 78, 'following_count': 74, 'tweet_count': 4573, 'listed_count': 0}",,@glennbeck I’m livid with this. This arrogant demented fraud hates this country. He refuses to talk to America. He barks out what questions he’ll ask &amp; staggers away laughing at us. What the fuck will it take for ALL DEMOCRATS to join calling him out.,2023-02-03 20:46:00+00:00,89697,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",FALSE,  I m livid with this this arrogant demented fraud hate this country he refuse to talk to america he bark out what question hell ask amp stagger away laugh at we what the fuck will it take for all democrats to join call he out ,['negative'],,,,
resistbot,"{'followers_count': 72979, 'following_count': 2254, 'tweet_count': 40282, 'listed_count': 487}",,"Yesterday, 109 Democrats joined them in backing House Concurrent Resolution No. 9, denouncing socialism. ""A largely symbolic gesture that opponents warned is nonetheless a step toward slashing Social Security, Medicare, and other safety net programs."" 
https://t.co/x6o0uNhzEh",2023-02-03 20:46:00+00:00,55077,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",FALSE,yesterday   democrats join they in back house concurrent resolution no   denounce socialism a largely symbolic gesture that opponent warn be nonetheless a step toward slash social security medicare and other safety net program ,['positive'],,,,
ah121254,"{'followers_count': 11810, 'following_count': 12428, 'tweet_count': 45555, 'listed_count': 4}",,@knjjdad Everyone should know what our government should do for us and how it should work...If you don't know history and the how and why you end up a Democrat!,2023-02-03 20:46:00+00:00,91874,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",FALSE,  everyone should know what our government should do for we and how it should workif you do not know history and the how and why you end up a democrat ,['negative'],,,,
Billy_Purcell,"{'followers_count': 1296, 'following_count': 2972, 'tweet_count': 117973, 'listed_count': 26}",Oregon,"Feckless, corrupt democrats. Right? https://t.co/4vIG3Zn5yp",2023-02-03 20:45:59+00:00,7232,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",FALSE,feckless corrupt democrats right ,['negative'],,,,
wolver4x4,"{'followers_count': 23, 'following_count': 100, 'tweet_count': 633, 'listed_count': 0}",,"@Liz_Wheeler Horse teeth STFU
A.O.C. The democrats crisis actor 
I’d check the ballots for her votes too people in NY can’t be that stupid to keep voting for her!!!",2023-02-03 20:45:59+00:00,97163,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",FALSE,  horse tooth stfuaoc the democrats crisis actor i d check the ballot for her vote too people in ny can not be that stupid to keep vote for she ,['negative'],,,,
OzarkaAl,"{'followers_count': 9, 'following_count': 135, 'tweet_count': 1141, 'listed_count': 2}",,@AdamKinzinger You are such a Democrat.,2023-02-03 20:45:59+00:00,21601,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",FALSE,  you be such a democrat ,['negative'],,,,
ed_eichman,"{'followers_count': 3, 'following_count': 45, 'tweet_count': 926, 'listed_count': 0}",Pennsylvania,"@mtaibbi Recent poll: 84% of Democrats STILL believe Putin and Trump stole the 2016 election. I think about 250 mill in human effort spent trying to prove it; thousands of media folks, hundreds of intel operatives (approved and rogue) Durham and Mueller, 4 yrs. Are these people children?",2023-02-03 20:45:58+00:00,77730,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",FALSE,  recent poll   of democrats still believe putin and trump steal the   election I think about   mill in human effort spend try to prove it thousand of medium folk hundred of intel operative approve and rogue durham and mueller   yr be these people child ,['positive'],,,,
MarkLar08907865,"{'followers_count': 772, 'following_count': 3720, 'tweet_count': 14553, 'listed_count': 15}",Florida,"@RepJeffries Democrats, increased the cost of everything 3x in 2 fing years. Dumbass",2023-02-03 20:45:56+00:00,10853,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",FALSE,  democrat increase the cost of everything x in   fing year dumbass ,['negative'],,,,
DaviddeCourcy3,"{'followers_count': 9, 'following_count': 97, 'tweet_count': 1156, 'listed_count': 0}",,@ClownWorld_ Yeah. I would have stomped that bitch and her bike. This is probably a Democrat Utopia where you don’t even get a ticket unless it’s for manslaughter,2023-02-03 20:45:56+00:00,56928,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",FALSE,  yeah I would have stomp that bitch and her bike this be probably a democrat utopia where you do not even get a ticket unless its for manslaughter ,['negative'],,,,
alexmagnum1422,"{'followers_count': 2950, 'following_count': 4987, 'tweet_count': 3698, 'listed_count': 1}",Florida,"@hodgetwins This Kids are animals , they are not human ….. fucking animals ….. demócrats , you have blood in your hands to divide the American people …",2023-02-03 20:45:56+00:00,72704,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 2}",FALSE,  this kid be animal   they be not human   fucking animal   demcrat   you have blood in your hand to divide the american people ,['negative'],,,,
joannmay91,"{'followers_count': 10819, 'following_count': 10818, 'tweet_count': 89664, 'listed_count': 14}",Oregon,"@AymannJames Hi James, it’s good to see you! 
Lauren and her colleagues appear to be in the 118th congress to market outrage and sell it to the base   Republicans, who not only form her base of support, but are also as base as she is.",2023-02-03 20:46:42+00:00,64448,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,  hi jam its good to see you lauren and her colleague appear to be in the th congress to market outrage and sell it to the base    republican who not only form her base of support but be also as base as she be ,['negative'],,,,
Shulimoder,"{'followers_count': 1426, 'following_count': 1023, 'tweet_count': 13585, 'listed_count': 15}",US,@prageru Republican 2024 platform: https://t.co/gSNzVb7VTS,2023-02-03 20:46:41+00:00,95904,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,  republican   platform ,['negative'],,,,
LibraAndProud,"{'followers_count': 361, 'following_count': 88, 'tweet_count': 112854, 'listed_count': 3}",,My boy never beating the republican allegations lmao,2023-02-03 20:46:41+00:00,56000,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,my boy never beat the republican allegation lmao ,['negative'],,,,
Faj1958,"{'followers_count': 264, 'following_count': 182, 'tweet_count': 14200, 'listed_count': 5}",North Carolina,@EliseStefanik Republicans need to wake up and realize we are socialized enough and they better put the brakes on before it gets out of hand.,2023-02-03 20:46:40+00:00,91330,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,  republican need to wake up and realize we be socialize enough and they well put the brake on before it get out of hand ,['positive'],,,,
RandallHead1,"{'followers_count': 823, 'following_count': 2250, 'tweet_count': 35158, 'listed_count': 5}",,"Ryan: “There are too many people like me in the Republican Party who would not support him if he were the nominee, and that is why I don’t think he’ll be the nominee. Because everyone knows we’ll lose the election if we nominate this guy again.”

https://t.co/FK0BZiJL4V",2023-02-03 20:46:39+00:00,78304,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 1}",TRUE,ryan there be too many people like I in the republican party who would not support he if he be the nominee and that be why I do not think hell be the nominee because everyone know well lose the election if we nominate this guy again ,['positive'],,,,
Ron_Frost5,"{'followers_count': 115, 'following_count': 120, 'tweet_count': 4189, 'listed_count': 2}",,@Quen231 My fellow Republicans?  I’m not republican! Lol.  If you really think any party you’re in for a big disappointment.,2023-02-03 20:46:39+00:00,11491,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 1}",TRUE,  my fellow republicans   I m not republican lol   if you really think any party you re in for a big disappointment ,['positive'],,,,
ccampos1976,"{'followers_count': 154, 'following_count': 1356, 'tweet_count': 8245, 'listed_count': 1}",US,"💥BREAKING NEWS: Republicans SUBPOENA FBI Director and demand he testify over using 'federal criminal and counterrorism resources' to target concerned parents at school board meetings during the pandemic 

https://t.co/bXDU9Gp2gc 
https://t.co/2I0Jag7WFr",2023-02-03 20:46:38+00:00,24288,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,break news republicans subpoena fbi director and demand he testify over use federal criminal and counterrorism resource to target concerned parent at school board meeting during the pandemic   ,['negative'],,,,
Abbrv2Achv,"{'followers_count': 370, 'following_count': 317, 'tweet_count': 23885, 'listed_count': 8}",,@Barney_Markham @MuerteRoxxie @MrAndyNgo A Republican governor literally signed the bill in my state restricting suspensions and expulsions.,2023-02-03 20:46:38+00:00,94049,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,    a republican governor literally sign the bill in my state restrict suspension and expulsion ,['negative'],,,,
CNNOpinion,"{'followers_count': 101290, 'following_count': 431, 'tweet_count': 23576, 'listed_count': 1054}",,"""Sanders represents a new generation of Republicans eager to weaponize the same outrage machine ... while showing that they can govern without the self-defeating chaos and tumult that rocked the nation from 2017 to 2021,"" writes @julianzelizer 

https://t.co/9gfZ4UKGVk",2023-02-03 20:46:36+00:00,17762,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,sander represent a new generation of republicans eager to weaponize the same outrage machine   while show that they can govern without the selfdefeate chaos and tumult that rock the nation from   to   write   ,['negative'],,,,
Capp97403345,"{'followers_count': 393, 'following_count': 1417, 'tweet_count': 25039, 'listed_count': 1}",,"@BisonPartySK They (FOX ""News"") should be removed from earth...period. 

MAGA Republicans = Domestic Terrorsists/Fascists",2023-02-03 20:46:36+00:00,73090,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,  they fox news should be remove from earthperiod maga republicans   domestic terrorsistsfascist ,['negative'],,,,
KoeJellyUS,"{'followers_count': 274, 'following_count': 505, 'tweet_count': 11046, 'listed_count': 38}",,"China likely laughing at real time video of republicans in their back yard shooting small arms at something 10 miles above them.   Going to be a boom for the roof repair industry coming up ""It started leaking right after that China balloon came over. """,2023-02-03 20:46:35+00:00,37128,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,china likely laugh at real time video of republicans in their back yard shoot small arm at something   mile above they    go to be a boom for the roof repair industry come up it start leak right after that china balloon come over ,['positive'],,,,
Adriana44239636,"{'followers_count': 1, 'following_count': 5, 'tweet_count': 380, 'listed_count': 0}",,"#牛仔裤 #社会女 #重口味 #字母圈 #吃瓜群 #QQ群
Big quite sort pattern individual young other Republican.
💯😝💋💥💘 https://t.co/C5JKdqVq3K",2023-02-03 20:46:34+00:00,43360,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,      big quite sort pattern individual young other republican ,['negative'],,,,
stephenBlesofs4,"{'followers_count': 1, 'following_count': 144, 'tweet_count': 5495, 'listed_count': 0}",,"@WHCOVIDResponse 1. Connect Republican Delay raising the  DEBT CEILING to jeopardizing our recovering economy (job growth..) OFFENSE that puts a radical House Rs on DEFENSE! 2. Call out Rs (eg Sen. Scott) for extreme, dangerous war advocating (China) statements.",2023-02-03 20:46:32+00:00,51200,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 1}",TRUE,   connect republican delay raise the   debt ceiling to jeopardize our recover economy job growth offense that put a radical house rs on defense   call out rs eg sen scott for extreme dangerous war advocate china statement ,['negative'],,,,
Mimirocks631,"{'followers_count': 1346, 'following_count': 1384, 'tweet_count': 8334, 'listed_count': 0}",,@CollinRugg Nancy is queen!! She is definitely not afraid of any Republican!! Bring it!! She will make you all look more ridiculous than you are 💙,2023-02-03 20:46:32+00:00,66208,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,  nancy be queen she be definitely not afraid of any republican bring it she will make you all look more ridiculous than you be ,['negative'],,,,
aorgat,"{'followers_count': 14780, 'following_count': 13532, 'tweet_count': 157115, 'listed_count': 27}",Massachusetts,"@RepAndyBiggsAZ If a Republican is talking, it is intentionally lying to deceit Americans so they can hide their crime spree.",2023-02-03 20:46:31+00:00,30656,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 1}",TRUE,  if a republican be talk it be intentionally lie to deceit americans so they can hide their crime spree ,['negative'],,,,
